,IMPLIED_VOLAITLITY,IMPLIED_VOLAITLITY,IMPLIED_VOLAITLITY,IMPLIED_VOLAITLITY,IMPLIED_VOLAITLITY_FIT,IMPLIED_VOLAITLITY_FIT,IMPLIED_VOLAITLITY_FIT,IMPLIED_VOLAITLITY_FIT
DURATION,1.24,1.71,2.03,2.5,1.24,1.71,2.03,2.5
MONEYNESS,,,,,,,,
0.8,0.8140220930166568,0.8255548658713853,0.8132535384481998,0.6761687121974175,0.798045254964989,0.8077467603404677,0.7996295642418971,0.6636888725896068
0.8632,0.7838501491009744,0.7880055197470758,0.7784615657462532,0.6469373742290249,0.780225722793992,0.7839842465406209,0.7754942849579676,0.6437724447483758
0.9262999999999999,0.7602624766930874,0.7578026288394495,0.7498480181484677,0.6222991345648314,0.7635047446377855,0.7617889209525927,0.7528163966379685,0.6250191821590134
0.9895,0.740993682214986,0.7325219178727377,0.7257170870126213,0.6013691466438106,0.747829322150391,0.7410904338914761,0.7315240200796177,0.6073696450034867
1.0526,0.7247775206688926,0.7122803305500118,0.7047090004315427,0.5842890134876091,0.7332490610991736,0.7219542868986041,0.7116845362213914,0.5908796862474777
1.1158,0.7108323384940936,0.696098977947691,0.6867824519528138,0.5696161683470774,0.7197177482953817,0.7043198265762177,0.6932350623886196,0.5754970397776553
1.1789,0.6998798687899696,0.6818618382003895,0.6708342262555567,0.5562128147733743,0.7072782043491536,0.688242858178502,0.6762339829921659,0.5612703848549998
1.2421,0.6909687170450792,0.6692281398511695,0.6567186359326307,0.5445691754273333,0.6958910012289643,0.6736724245948458,0.660627411884973,0.5481546290708816
1.3053,0.6840082288682048,0.6582366124637032,0.6443217520740878,0.5345075786221596,0.6855767017667612,0.6606352173760967,0.6464434175969139,0.53617321605269
1.3684,0.6782550303390351,0.6491282279915395,0.6335616543104784,0.5254020606719148,0.6763490809511385,0.6491482279473604,0.633701068568678,0.5253424128831659
1.4316,0.6716898195037967,0.6418283970342501,0.6240232654244077,0.5172826084699613,0.6681788911725381,0.6391750474673414,0.6223599770061979,0.5156278905506785
1.4947,0.6660984751898125,0.6355884526558123,0.6158277713580391,0.5103738960097617,0.6610919874619048,0.6307472366337614,0.6124560324397346,0.5070603912145079
1.5578999999999998,0.661054298283784,0.6303576855213361,0.6085714441281805,0.5041688744936255,0.6550659073669068,0.6238380828924726,0.6039578436028333,0.4996127595677248
1.6211000000000002,0.6561612987935412,0.6260108910550406,0.6024973318031488,0.49865143770796544,0.6501127309298954,0.6184621555160909,0.5968822315850658,0.4932994706868681
1.6842,0.6518241474561991,0.621887870336909,0.5971696546398422,0.49359587740779565,0.6462377503498674,0.6146243236514903,0.5912370173868204,0.48812782310382874
1.7474,0.6481013905485231,0.6180162999205588,0.5923329492047764,0.4887264082657981,0.6434286835964584,0.6123124230138387,0.5870043080946319,0.4840814249086764
1.8105000000000002,0.6444888939430572,0.6148894801765089,0.5879285949105776,0.4839185981912053,0.6416944201214199,0.6115337697443943,0.584197498358159,0.4811730811589906
1.8737000000000001,0.6409881799223235,0.6119204591731997,0.5836047049234125,0.47933793839671923,0.6410294630516135,0.612285895845473,0.5828076917915495,0.4793935736495426
1.9368,0.6372632143917699,0.6097692314038203,0.5790678199150656,0.4751640840911538,0.6414359166815641,0.614566421171185,0.5828392865168494,0.4787485337332102
2.0,0.6333378390014774,0.6075233066307932,0.5741925483303769,0.4709374768723074,0.6429150692953601,0.6183825740109937,0.5842923826758186,0.4792359169094665
